"Young Frankenstein (1974)"   "286"   "4" 
"Executive Decision (1996)"   "293"   "3" 
"Die Hard (1988)"   "216"   "4" 
"Conspiracy Theory (1997)"   "166"   "5" 
"It's a Wonderful Life (1946)"   "250"   "4" 
"Wizard of Oz, The (1939)"   "271"   "5" 
"Raiders of the Lost Ark (1981)"   "160"   "5" 
"Twister (1996)"   "265"   "4" 
"African Queen, The (1951)"   "198"   "3" 
"Terminator 2: Judgment Day (1991)"   "42"   "5" 
"Willy Wonka and the Chocolate Factory (1971)"   "168"   "5" 
"Devil's Advocate, The (1997)"   "110"   "4" 
"Die Hard (1988)"   "58"   "4" 
"Quiet Man, The (1952)"   "90"   "4" 
"Jackie Brown (1997)"   "271"   "4" 
"Muppet Treasure Island (1996)"   "62"   "3" 
"Bogus (1996)"   "279"   "3" 
"Annie Hall (1977)"   "237"   "4" 
"Swimming with Sharks (1995)"   "94"   "4" 
"My Fair Lady (1964)"   "128"   "3" 
"In the Name of the Father (1993)"   "298"   "4" 
"Terminator, The (1984)"   "44"   "5" 
"Shining, The (1980)"   "264"   "5" 
"True Lies (1994)"   "194"   "2" 
"Terminator, The (1984)"   "72"   "5" 
"Amistad (1997)"   "222"   "5" 
"Mimic (1997)"   "250"   "3" 
"Hunt for Red October, The (1990)"   "41"   "3" 
"Devil's Own, The (1997)"   "224"   "3" 
"2001: A Space Odyssey (1968)"   "82"   "3" 
"My Family (1995)"   "262"   "4" 
"Courage Under Fire (1996)"   "293"   "3" 
"Pump Up the Volume (1990)"   "216"   "3" 
"Homeward Bound: The Incredible Journey (1993)"   "250"   "3" 
"Taxi Driver (1976)"   "59"   "5" 
"Tales From the Crypt Presents: Demon Knight (1995)"   "286"   "5" 
"One Fine Day (1996)"   "244"   "4" 
"Vertigo (1958)"   "7"   "4" 
"Bio-Dome (1996)"   "174"   "1" 
"Sabrina (1995)"   "87"   "4" 
"Blue Sky (1994)"   "194"   "2" 
"Get on the Bus (1996)"   "82"   "2" 
"Ninotchka (1939)"   "13"   "2" 
"Good Will Hunting (1997)"   "13"   "4" 
"Father of the Bride Part II (1995)"   "244"   "2" 
"To Kill a Mockingbird (1962)"   "305"   "5" 
"Roommates (1995)"   "95"   "2" 
"Postino, Il (1994)"   "43"   "2" 
"Before Sunrise (1995)"   "299"   "4" 
"Mary Poppins (1964)"   "57"   "3" 
"Mission: Impossible (1996)"   "84"   "3" 
"Bonnie and Clyde (1967)"   "269"   "4" 
"Truth About Cats & Dogs, The (1996)"   "299"   "3" 
"Red Rock West (1992)"   "194"   "4" 
"2001: A Space Odyssey (1968)"   "160"   "4" 
"Chasing Amy (1997)"   "99"   "3" 
"Sabrina (1954)"   "10"   "4" 
"Rock, The (1996)"   "259"   "4" 
"To Kill a Mockingbird (1962)"   "85"   "3" 
"City of Lost Children, The (1995)"   "303"   "4" 
"Heat (1995)"   "213"   "5" 
"Annie Hall (1977)"   "121"   "3" 
"Silence of the Lambs, The (1991)"   "90"   "5" 
"Interview with the Vampire (1994)"   "49"   "2" 
"It Could Happen to You (1994)"   "42"   "3" 
"Dante's Peak (1997)"   "155"   "2" 
"Rock, The (1996)"   "68"   "4" 
"Good, The Bad and The Ugly, The (1966)"   "172"   "4" 
"Get Shorty (1995)"   "19"   "4" 
"Batman Returns (1992)"   "268"   "4" 
"GoldenEye (1995)"   "5"   "3" 
"Rock, The (1996)"   "305"   "2" 
"Liar Liar (1997)"   "44"   "4" 
"Big Night (1996)"   "43"   "4" 
"Kazaam (1996)"   "279"   "1" 
"Red Rock West (1992)"   "80"   "5" 
"Abyss, The (1989)"   "254"   "4" 
"River Wild, The (1994)"   "298"   "3" 
"Ghost in the Shell (Kokaku kidotai) (1995)"   "279"   "1" 
"Face/Off (1997)"   "66"   "4" 
"Birds, The (1963)"   "18"   "3" 
"Cool Runnings (1993)"   "268"   "2" 
"Fugitive, The (1993)"   "99"   "4" 
"Silence of the Lambs, The (1991)"   "13"   "4" 
"Contact (1997)"   "26"   "3" 
"Jackie Chan's First Strike (1996)"   "7"   "4" 
"Jumanji (1995)"   "222"   "4" 
"Cape Fear (1962)"   "200"   "5" 
"Conspiracy Theory (1997)"   "119"   "4" 
"Empire Strikes Back, The (1980)"   "213"   "5" 
"Murder at 1600 (1997)"   "276"   "3" 
"Assassins (1995)"   "94"   "3" 
"Tales From the Crypt Presents: Demon Knight (1995)"   "130"   "4" 
"Conspiracy Theory (1997)"   "38"   "4" 
"Canadian Bacon (1994)"   "160"   "3" 
"Clockers (1995)"   "293"   "3" 
"Chain Reaction (1996)"   "26"   "2" 
"When Harry Met Sally... (1989)"   "130"   "4" 
"Joe's Apartment (1996)"   "92"   "3" 
"Jaws 2 (1978)"   "256"   "4" 
"Three Colors: White (1994)"   "1"   "4" 
"Hoop Dreams (1994)"   "72"   "4" 
"Jumanji (1995)"   "56"   "3" 
"Wonderland (1997)"   "13"   "4" 
"Mission: Impossible (1996)"   "15"   "2" 
"Firm, The (1993)"   "92"   "3" 
"First Wives Club, The (1996)"   "207"   "2" 
"Raiders of the Lost Ark (1981)"   "292"   "5" 
"Casablanca (1942)"   "232"   "5" 
"Saint, The (1997)"   "251"   "2" 
"Brothers McMullen, The (1995)"   "224"   "3" 
"Mirror Has Two Faces, The (1996)"   "181"   "4" 
"My Best Friend's Wedding (1997)"   "259"   "4" 
"Courage Under Fire (1996)"   "305"   "4" 
"Up Close and Personal (1996)"   "52"   "3" 
"Groundhog Day (1993)"   "161"   "5" 
"Close Shave, A (1995)"   "148"   "5" 
"Mars Attacks! (1996)"   "125"   "2" 
"Star Trek: The Wrath of Khan (1982)"   "97"   "5" 
"Flirting With Disaster (1996)"   "58"   "4" 
"Jaws (1975)"   "83"   "4" 
"Wag the Dog (1997)"   "90"   "4" 
"12 Angry Men (1957)"   "272"   "5" 
"Return of the Jedi (1983)"   "194"   "3" 
"Philadelphia Story, The (1940)"   "125"   "4" 
"Leave It to Beaver (1997)"   "110"   "1" 
"Postino, Il (1994)"   "299"   "4" 
"Richard III (1995)"   "151"   "5" 
"Godfather, The (1972)"   "269"   "4" 
"Postino, Il (1994)"   "6"   "5" 
"Diabolique (1996)"   "54"   "3" 
"Forrest Gump (1994)"   "303"   "5" 
"Renaissance Man (1994)"   "16"   "1" 
"Tommy Boy (1995)"   "301"   "4" 
"Pete's Dragon (1977)"   "276"   "3" 
"Pink Floyd - The Wall (1982)"   "305"   "2" 
"Grumpier Old Men (1995)"   "194"   "2" 
"Dante's Peak (1997)"   "91"   "2" 
"Waterworld (1995)"   "87"   "4" 
"Mystery Science Theater 3000: The Movie (1996)"   "294"   "4" 
"Delicatessen (1991)"   "286"   "4" 
"Schindler's List (1993)"   "200"   "5" 
"Conspiracy Theory (1997)"   "229"   "1" 
"Speed (1994)"   "178"   "4" 
"Pollyanna (1960)"   "303"   "2" 
"What's Eating Gilbert Grape (1993)"   "62"   "4" 
"Primal Fear (1996)"   "207"   "3" 
"Empire Strikes Back, The (1980)"   "92"   "4" 
"Brady Bunch Movie, The (1995)"   "301"   "4" 
"Mad City (1997)"   "36"   "5" 
"Real Genius (1985)"   "70"   "3" 
"Kolya (1996)"   "63"   "3" 
"Evil Dead II (1987)"   "28"   "3" 
"Crow, The (1994)"   "279"   "4" 
"Twelve Monkeys (1995)"   "250"   "4" 
"Silence of the Lambs, The (1991)"   "14"   "3" 
"Tie Me Up! Tie Me Down! (1990)"   "299"   "3" 
"Outbreak (1995)"   "194"   "3" 
"One Fine Day (1996)"   "303"   "3" 
"Jerry Maguire (1996)"   "119"   "5" 
"Cape Fear (1991)"   "295"   "5" 
"Chain Reaction (1996)"   "268"   "2" 
"GoldenEye (1995)"   "268"   "2" 
"Contact (1997)"   "66"   "4" 
"Groundhog Day (1993)"   "233"   "5" 
"Angels in the Outfield (1994)"   "83"   "4" 
"U Turn (1997)"   "214"   "3" 
"First Wives Club, The (1996)"   "192"   "2" 
"Apostle, The (1997)"   "100"   "4" 
"Lawnmower Man, The (1992)"   "268"   "1" 
"Pulp Fiction (1994)"   "301"   "4" 
"Blade Runner (1982)"   "307"   "5" 
"20,000 Leagues Under the Sea (1954)"   "234"   "3" 
"Cliffhanger (1993)"   "83"   "4" 
"Mimic (1997)"   "181"   "2" 
"Gone with the Wind (1939)"   "297"   "4" 
"Fish Called Wanda, A (1988)"   "38"   "5" 
"Adventures of Priscilla, Queen of the Desert, The (1994)"   "7"   "4" 
"Celluloid Closet, The (1995)"   "264"   "4" 
"Love Jones (1997)"   "181"   "1" 
"Unhook the Stars (1996)"   "201"   "1" 
"Streetcar Named Desire, A (1951)"   "85"   "4" 
"Clueless (1995)"   "269"   "3" 
"Rudy (1993)"   "59"   "3" 
"Sound of Music, The (1965)"   "286"   "4" 
"Terminator 2: Judgment Day (1991)"   "193"   "1" 
"Fan, The (1996)"   "113"   "5" 
"Seven (Se7en) (1995)"   "292"   "5" 
"Romy and Michele's High School Reunion (1997)"   "130"   "3" 
"Silence of the Lambs, The (1991)"   "275"   "4" 
"Great Escape, The (1963)"   "189"   "5" 
"Jurassic Park (1993)"   "219"   "1" 
"This Is Spinal Tap (1984)"   "218"   "5" 
"To Kill a Mockingbird (1962)"   "123"   "3" 
"Star Trek: First Contact (1996)"   "119"   "5" 
"Good, The Bad and The Ugly, The (1966)"   "158"   "4" 
"Twister (1996)"   "222"   "4" 
"Murder at 1600 (1997)"   "302"   "2" 
"Dumbo (1941)"   "279"   "3" 
"Fugitive, The (1993)"   "301"   "5" 
"Four Rooms (1995)"   "181"   "2" 
"Kicking and Screaming (1995)"   "201"   "1" 
"Nikita (La Femme Nikita) (1990)"   "13"   "3" 
"Grand Day Out, A (1992)"   "1"   "3" 
"Jerry Maguire (1996)"   "145"   "5" 
"True Lies (1994)"   "23"   "4" 
"Addiction, The (1995)"   "201"   "4" 
"Singin' in the Rain (1952)"   "296"   "5" 
"Broken Arrow (1996)"   "42"   "3" 
"Love Jones (1997)"   "33"   "3" 
"Waterworld (1995)"   "301"   "3" 
"Shawshank Redemption, The (1994)"   "16"   "5" 
"2001: A Space Odyssey (1968)"   "95"   "3" 
"One Flew Over the Cuckoo's Nest (1975)"   "154"   "4" 
"Maltese Falcon, The (1941)"   "77"   "5" 
"People vs. Larry Flynt, The (1996)"   "296"   "5" 
"Ulee's Gold (1997)"   "302"   "2" 
"Cape Fear (1962)"   "244"   "3" 
"Firm, The (1993)"   "222"   "4" 
"Field of Dreams (1989)"   "13"   "5" 
"Singin' in the Rain (1952)"   "16"   "5" 
"Jaws 2 (1978)"   "270"   "4" 
"Mr. Holland's Opus (1995)"   "145"   "2" 
"Shawshank Redemption, The (1994)"   "187"   "5" 
"Fly Away Home (1996)"   "200"   "5" 
"MatchMaker, The (1997)"   "170"   "5" 
"Fled (1996)"   "101"   "3" 
"Cape Fear (1991)"   "184"   "3" 
"Back to the Future (1985)"   "128"   "4" 
"Kicked in the Head (1997)"   "181"   "1" 
"Fish Called Wanda, A (1988)"   "184"   "3" 
"Desperado (1995)"   "1"   "4" 
"Glengarry Glen Ross (1992)"   "1"   "4" 
"Mother (1996)"   "184"   "5" 
"Fan, The (1996)"   "54"   "3" 
"Alien: Resurrection (1997)"   "94"   "4" 
"People vs. Larry Flynt, The (1996)"   "128"   "4" 
"Dante's Peak (1997)"   "23"   "2" 
"Star Trek VI: The Undiscovered Country (1991)"   "301"   "3" 
"Amadeus (1984)"   "301"   "3" 
"Afterglow (1997)"   "112"   "1" 
"Alien (1979)"   "82"   "3" 
"Circle of Friends (1995)"   "222"   "3" 
"Duck Soup (1933)"   "218"   "3" 
"Family Thing, A (1996)"   "308"   "4" 
"Citizen Kane (1941)"   "303"   "5" 
"Tomorrow Never Dies (1997)"   "133"   "3" 
"Unbearable Lightness of Being, The (1988)"   "215"   "2" 
"When the Cats Away (Chacun cherche son chat) (1996)"   "69"   "5" 
"Somewhere in Time (1980)"   "254"   "4" 
"GoldenEye (1995)"   "276"   "4" 
"Shadow Conspiracy (1997)"   "104"   "1" 
"Bottle Rocket (1996)"   "63"   "3" 
"Kingpin (1996)"   "267"   "4" 
"Pulp Fiction (1994)"   "13"   "5" 
"Peacemaker, The (1997)"   "240"   "3" 
"Jerry Maguire (1996)"   "286"   "2" 
"Starship Troopers (1997)"   "294"   "5" 
"It's My Party (1995)"   "90"   "4" 
"Brothers McMullen, The (1995)"   "18"   "4" 
"Star Trek III: The Search for Spock (1984)"   "92"   "3" 
"Once Upon a Time in America (1984)"   "308"   "4" 
"Blade Runner (1982)"   "144"   "3" 
"L.A. Confidential (1997)"   "191"   "4" 
"Indian in the Cupboard, The (1995)"   "59"   "3" 
"Terminator 2: Judgment Day (1991)"   "200"   "5" 
"Graduate, The (1967)"   "16"   "5" 
"Volcano (1997)"   "61"   "3" 
"Bridge on the River Kwai, The (1957)"   "271"   "4" 
"Strictly Ballroom (1992)"   "271"   "3" 
"Wrong Trousers, The (1993)"   "142"   "5" 
"Eraser (1996)"   "275"   "3" 
"Willy Wonka and the Chocolate Factory (1971)"   "222"   "3" 
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"   "87"   "3" 
"Contact (1997)"   "207"   "4" 
"Stag (1997)"   "272"   "2" 
"Game, The (1997)"   "177"   "4" 
"Twelfth Night (1996)"   "207"   "2" 
"Coneheads (1993)"   "299"   "3" 
"Miracle on 34th Street (1994)"   "271"   "4" 
"Bob Roberts (1992)"   "305"   "4" 
"Dazed and Confused (1993)"   "49"   "2" 
"Scout, The (1994)"   "94"   "3" 
"Trees Lounge (1996)"   "130"   "3" 
"Brazil (1985)"   "10"   "3" 
"Mother (1996)"   "203"   "3" 
"English Patient, The (1996)"   "191"   "4" 
"Dante's Peak (1997)"   "43"   "3" 
"Heavenly Creatures (1994)"   "21"   "5" 
"Terminator 2: Judgment Day (1991)"   "197"   "5" 
"Apostle, The (1997)"   "13"   "2" 
"While You Were Sleeping (1995)"   "194"   "3" 
"Akira (1988)"   "234"   "4" 
"Ghost (1990)"   "308"   "4" 
"Cook the Thief His Wife & Her Lover, The (1989)"   "308"   "4" 
"Down by Law (1986)"   "269"   "5" 
"Hunt for Red October, The (1990)"   "94"   "4" 
"Stargate (1994)"   "268"   "3" 
"Usual Suspects, The (1995)"   "272"   "5" 
"Absolute Power (1997)"   "121"   "3" 
"Angels and Insects (1995)"   "296"   "5" 
"English Patient, The (1996)"   "134"   "3" 
"Like Water For Chocolate (Como agua para chocolate) (1992)"   "180"   "5" 
"Lost Horizon (1937)"   "234"   "3" 
"Rock, The (1996)"   "104"   "2" 
"Lawnmower Man 2: Beyond Cyberspace (1996)"   "38"   "1" 
"That Thing You Do! (1996)"   "269"   "1" 
"Return of the Pink Panther, The (1974)"   "7"   "4" 
"Foreign Correspondent (1940)"   "234"   "3" 
"Mission: Impossible (1996)"   "275"   "2" 
"Fifth Element, The (1997)"   "52"   "3" 
"Mulholland Falls (1996)"   "102"   "3" 
"Blues Brothers, The (1980)"   "13"   "4" 
"Corrina, Corrina (1994)"   "178"   "4" 
"Lion King, The (1994)"   "236"   "3" 
"French Kiss (1995)"   "256"   "5" 
"Aliens (1986)"   "263"   "5" 
"Blues Brothers, The (1980)"   "244"   "3" 
"Low Down Dirty Shame, A (1994)"   "279"   "4" 
"One Fine Day (1996)"   "43"   "4" 
"Free Willy (1993)"   "83"   "2" 
"Graduate, The (1967)"   "151"   "5" 
"American Werewolf in London, An (1981)"   "254"   "2" 
"Crying Game, The (1992)"   "109"   "3" 
"Home for the Holidays (1995)"   "297"   "3" 
"Full Metal Jacket (1987)"   "249"   "4" 
"Little Women (1994)"   "144"   "4" 
"It Happened One Night (1934)"   "301"   "4" 
"Man Without a Face, The (1993)"   "64"   "3" 
"Dumbo (1941)"   "92"   "2" 
"Dances with Wolves (1990)"   "222"   "4" 
"American Werewolf in London, An (1981)"   "268"   "3" 
"2001: A Space Odyssey (1968)"   "293"   "5" 
"Princess Bride, The (1987)"   "213"   "5" 
"Crossing Guard, The (1995)"   "160"   "2" 
"African Queen, The (1951)"   "13"   "4" 
"To Die For (1995)"   "59"   "5" 
"From Dusk Till Dawn (1996)"   "5"   "4" 
"Return of the Pink Panther, The (1974)"   "125"   "5" 
"Apt Pupil (1998)"   "174"   "5" 
"Dial M for Murder (1954)"   "114"   "3" 
"Boot, Das (1981)"   "213"   "4" 
"Dead Poets Society (1989)"   "23"   "2" 
"Mr. Holland's Opus (1995)"   "128"   "4" 
"Pulp Fiction (1994)"   "239"   "4" 
"Once Upon a Time... When We Were Colored (1995)"   "181"   "1" 
"Hot Shots! Part Deux (1993)"   "291"   "4" 
"Raising Arizona (1987)"   "250"   "4" 
"Once Upon a Time in America (1984)"   "201"   "3" 
"Three Colors: Blue (1993)"   "60"   "5" 
"Crash (1996)"   "181"   "2" 
"Spy Hard (1996)"   "119"   "3" 
"Toy Story (1995)"   "287"   "5" 
"Star Trek: The Wrath of Khan (1982)"   "216"   "3" 
"Shine (1996)"   "216"   "4" 
"Courage Under Fire (1996)"   "203"   "4" 
"Hour of the Pig, The (1993)"   "92"   "3" 
"Flubber (1997)"   "13"   "3" 
"Aliens (1986)"   "213"   "4" 
"Scream (1996)"   "286"   "5" 
"Multiplicity (1996)"   "117"   "2" 
"Truth About Cats & Dogs, The (1996)"   "99"   "1" 
"Heavenly Creatures (1994)"   "11"   "3" 
"Ed Wood (1994)"   "65"   "2" 
"Sting, The (1973)"   "295"   "4" 
"Bram Stoker's Dracula (1992)"   "269"   "2" 
"George of the Jungle (1997)"   "85"   "2" 
"Hunchback of Notre Dame, The (1996)"   "250"   "5" 
"Die Hard (1988)"   "137"   "5" 
"Naked (1993)"   "201"   "2" 
"Big Night (1996)"   "257"   "4" 
"Conspiracy Theory (1997)"   "111"   "4" 
"North by Northwest (1959)"   "91"   "4" 
"M*A*S*H (1970)"   "215"   "4" 
"Smile Like Yours, A (1997)"   "181"   "1" 
"Adventures of Pinocchio, The (1996)"   "189"   "5" 
"Angels and Insects (1995)"   "1"   "4" 
"Pinocchio (1940)"   "303"   "4" 
"Ice Storm, The (1997)"   "299"   "3" 
"Indiana Jones and the Last Crusade (1989)"   "187"   "4" 
"Bed of Roses (1996)"   "222"   "2" 
"Speed (1994)"   "214"   "4" 
"Devil in a Blue Dress (1995)"   "293"   "3" 
"Amadeus (1984)"   "285"   "4" 
"Lost World: Jurassic Park, The (1997)"   "303"   "3" 
"Reservoir Dogs (1992)"   "96"   "4" 
"Tank Girl (1995)"   "72"   "3" 
"Bottle Rocket (1996)"   "115"   "4" 
"Duck Soup (1933)"   "7"   "3" 
"Fallen (1998)"   "116"   "3" 
"North by Northwest (1959)"   "73"   "4" 
"Chasing Amy (1997)"   "269"   "5" 
"Mary Poppins (1964)"   "263"   "5" 
"Highlander (1986)"   "70"   "3" 
"Trainspotting (1996)"   "221"   "4" 
"GoodFellas (1990)"   "72"   "5" 
"One Flew Over the Cuckoo's Nest (1975)"   "25"   "4" 
"Star Wars (1977)"   "290"   "5" 
"Ben-Hur (1959)"   "189"   "4" 
"Ulee's Gold (1997)"   "299"   "3" 
"Liar Liar (1997)"   "264"   "3" 
"Powder (1995)"   "200"   "5" 
"2001: A Space Odyssey (1968)"   "187"   "4" 
"Godfather: Part II, The (1974)"   "184"   "4" 
"Evita (1996)"   "63"   "2" 
"Star Trek III: The Search for Spock (1984)"   "13"   "4" 
"Sabrina (1954)"   "298"   "3" 
"Psycho (1960)"   "235"   "4" 
"Tin Men (1987)"   "62"   "4" 
"Home Alone (1990)"   "246"   "2" 
"Ransom (1996)"   "54"   "5" 
"Beautiful Girls (1996)"   "63"   "3" 
"Dave (1993)"   "11"   "3" 
"Monty Python and the Holy Grail (1974)"   "92"   "4" 
"Die Hard: With a Vengeance (1995)"   "8"   "3" 
"Raiders of the Lost Ark (1981)"   "307"   "4" 
"Shining, The (1980)"   "303"   "4" 
"Days of Thunder (1990)"   "256"   "2" 
"Outbreak (1995)"   "72"   "3" 
"Thinner (1996)"   "164"   "2" 
"Swingers (1996)"   "117"   "4" 
"Firm, The (1993)"   "224"   "4" 
"Fools Rush In (1997)"   "193"   "3" 
"Army of Darkness (1993)"   "94"   "2" 
"Bean (1997)"   "281"   "2" 
"Mystery Science Theater 3000: The Movie (1996)"   "130"   "3" 
"Bridges of Madison County, The (1995)"   "128"   "1" 
"First Knight (1995)"   "94"   "1" 
"That Thing You Do! (1996)"   "182"   "3" 
"Picture Perfect (1997)"   "129"   "1" 
"Star Trek III: The Search for Spock (1984)"   "254"   "4" 
"Muriel's Wedding (1994)"   "64"   "4" 
"Aliens (1986)"   "151"   "2" 
"Birdcage, The (1996)"   "45"   "4" 
"Peacemaker, The (1997)"   "193"   "3" 
"Dead Man (1995)"   "276"   "4" 
"Priest (1994)"   "276"   "3" 
"Godfather: Part II, The (1974)"   "234"   "4" 
"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"   "181"   "1" 
"Mary Reilly (1996)"   "21"   "1" 
"Austin Powers: International Man of Mystery (1997)"   "293"   "3" 
"Mallrats (1995)"   "264"   "5" 
"Laura (1944)"   "10"   "5" 
"Jackie Brown (1997)"   "197"   "3" 
"Bedknobs and Broomsticks (1971)"   "276"   "3" 
"To Kill a Mockingbird (1962)"   "308"   "4" 
"Killing Zoe (1994)"   "221"   "4" 
"Spitfire Grill, The (1996)"   "131"   "4" 
"Great White Hype, The (1996)"   "268"   "2" 
"Babe (1995)"   "109"   "3" 
"Quiz Show (1994)"   "198"   "3" 
"Kull the Conqueror (1997)"   "230"   "4" 
"Last Supper, The (1995)"   "181"   "1" 
"Evening Star, The (1996)"   "192"   "4" 
"Omen, The (1976)"   "234"   "3" 
"Kundun (1997)"   "90"   "4" 
"With Honors (1994)"   "193"   "4" 
"Rear Window (1954)"   "128"   "5" 
"Great Expectations (1998)"   "126"   "2" 
"Hunt for Red October, The (1990)"   "244"   "4" 
"Evita (1996)"   "90"   "3" 
"Birdcage, The (1996)"   "157"   "3" 
"Lion King, The (1994)"   "305"   "3" 
"Adventures of Priscilla, Queen of the Desert, The (1994)"   "119"   "5" 
"Star Trek: First Contact (1996)"   "21"   "2" 
"Return of the Jedi (1983)"   "231"   "4" 
"People vs. Larry Flynt, The (1996)"   "280"   "3" 
"Wizard of Oz, The (1939)"   "288"   "3" 
"Line King: Al Hirschfeld, The (1996)"   "279"   "2" 
"Desperado (1995)"   "301"   "4" 
"Little Women (1994)"   "72"   "3" 
"George of the Jungle (1997)"   "90"   "2" 
"Professional, The (1994)"   "308"   "3" 
"Ransom (1996)"   "59"   "3" 
"Michael Collins (1996)"   "94"   "4" 
"Grifters, The (1990)"   "130"   "4" 
"Shiloh (1997)"   "26"   "3" 
"Independence Day (ID4) (1996)"   "56"   "5" 
"People vs. Larry Flynt, The (1996)"   "82"   "2" 
"Usual Suspects, The (1995)"   "62"   "4" 
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"   "276"   "3" 
